cell_id,month,start_date,end_date,ndvi_mean,ndbi_mean,ndwi_mean,ndvi_std,ndbi_std,ndwi_std,valid_pixel_count,valid_pixel_fraction,viirs_avg_rad_mean,viirs_avg_rad_std,viirs_cf_cvg_mean,viirs_cf_cvg_min,viirs_cf_cvg_max,viirs_valid_pixel_count,viirs_valid_pixel_fraction,era5_temperature_mean,era5_temperature_min,era5_temperature_max,era5_precipitation_total,era5_wind_speed_mean,era5_wind_speed_max,era5_observation_count,era5_source_lat,era5_source_lon
cell_00_00,2026-01,2026-01-01,2026-02-01,0.046836895563524834,0.014065100150151447,-0.08142821905399635,0.04252235445093872,0.033362521577426286,0.04500480013750476,629,1.0,31.062996648329893,2.170794676111398,12.0,12,12,4,1.0,12.771522776285966,3.8849884033203352,23.59253845214846,70.86126775364576,2.1409653726070625,4.623968548660424,744,28.550130595746854,77.250353363273
cell_00_00,2026-02,2026-02-01,2026-03-01,0.09871710436004899,0.050788973919647894,-0.16224240243212787,0.06760209335378593,0.03923399401960898,0.06313884529990584,629,1.0,43.78438985472357,0.5635326446929847,13.0,13,13,4,1.0,17.505782154628406,8.961755371093773,30.038125610351585,12.192050537727539,2.0908996788301795,5.012603680276163,672,28.550130595746854,77.250353363273
cell_00_00,2026-03,2026-03-01,2026-04-01,0.08671027736503625,0.06359755237668822,-0.16090077606138412,0.0780981507591393,0.039574244331975955,0.07207164565627006,629,1.0,37.97682890410208,0.37218962059418387,7.0,7,7,4,1.0,23.505136169925972,12.473123168945335,35.17823181152346,27.40101860958788,2.4574906133641155,5.917523442446066,744,28.550130595746854,77.250353363273
cell_00_00,2026-04,2026-04-01,2026-05-01,0.08177168136590866,0.06306316086686642,-0.14612120571038692,0.07328025684255642,0.031918516787314145,0.07102779032954151,629,1.0,36.860175714260194,2.7236275472512146,13.0,13,13,4,1.0,28.169695260789613,14.58069763183596,41.803262329101585,30.35884013894119,2.616209810413786,6.660434398336907,720,28.550130595746854,77.250353363273
cell_00_00,2026-05,2026-05-01,2026-06-01,0.0800921199059435,0.06649382957156415,-0.13972262569929897,0.06399770964389165,0.02974429033513417,0.06295703356897527,629,1.0,31.224425671407992,3.8879965137223724,13.0,13,13,4,1.0,31.685339330857538,20.063653564453148,43.88869628906252,34.52493538703294,3.087614318591383,8.595696776622196,744,28.550130595746854,77.250353363273
cell_00_00,2026-06,2026-06-01,2026-07-01,0.06267106602780892,0.06580206819445225,-0.12440792208377033,0.06426624801309035,0.031155363348451533,0.06451662261581578,629,1.0,33.17059340792666,1.220767678605821,9.850174216027874,9,10,4,1.0,32.529843478732396,22.87781677246096,42.731484985351585,32.562900674069084,2.3151181472498106,7.907232345745836,720,28.550130595746854,77.250353363273
cell_00_01,2026-01,2026-01-01,2026-02-01,0.21348839972811753,0.0173667337290637,-0.23432410384925104,0.13995858863237834,0.07744790377868199,0.11544446165045226,642,1.0,26.897827205586523,3.5489109921998536,12.0,12,12,4,1.0,12.771522776285966,3.8849884033203352,23.59253845214846,70.86126775364576,2.1409653726070625,4.623968548660424,744,28.550130595746854,77.250353363273
cell_00_01,2026-02,2026-02-01,2026-03-01,0.318284126379939,0.035008747263961665,-0.3548646703491276,0.21113157816301215,0.08351407537394595,0.16441668740326865,642,1.0,35.176928388045525,5.380657240400784,13.0,13,13,4,1.0,17.505782154628406,8.961755371093773,30.038125610351585,12.192050537727539,2.0908996788301795,5.012603680276163,672,28.550130595746854,77.250353363273
cell_00_01,2026-03,2026-03-01,2026-04-01,0.40420206678652626,-0.030842734103724755,-0.4321652601321124,0.3024307051986968,0.14662642335822007,0.23688866138276982,642,1.0,28.276366830318608,6.695079833673666,7.0,7,7,4,1.0,23.505136169925972,12.473123168945335,35.17823181152346,27.40101860958788,2.4574906133641155,5.917523442446066,744,28.550130595746854,77.250353363273
cell_00_01,2026-04,2026-04-01,2026-05-01,0.3315847289673992,0.029472957740846097,-0.3830475656561535,0.2439665080899377,0.10046167257545215,0.21083548095303814,642,1.0,27.318952003221835,5.136473083924681,13.0,13,13,4,1.0,28.169695260789613,14.58069763183596,41.803262329101585,30.35884013894119,2.616209810413786,6.660434398336907,720,28.550130595746854,77.250353363273
cell_00_01,2026-05,2026-05-01,2026-06-01,0.29438760362767274,0.039918640882456356,-0.33227163378846075,0.20834649982874706,0.09163066319419431,0.17102284103419818,642,1.0,24.725281126043768,5.158655312133433,13.0,13,13,4,1.0,31.685339330857538,20.063653564453148,43.88869628906252,34.52493538703294,3.087614318591383,8.595696776622196,744,28.550130595746854,77.250353363273
cell_00_01,2026-06,2026-06-01,2026-07-01,0.25040003810462724,0.05817862990614538,-0.3048158466862888,0.18530840057324297,0.07092706293760584,0.1593741404195475,642,1.0,25.023707593424934,5.813387587058901,10.835205992509364,10,11,4,1.0,32.529843478732396,22.87781677246096,42.731484985351585,32.562900674069084,2.3151181472498106,7.907232345745836,720,28.550130595746854,77.250353363273
cell_00_02,2026-01,2026-01-01,2026-02-01,0.41363345621349384,-0.05357066663692398,-0.37940184258294846,0.07173034013675494,0.08081256032223283,0.04342889460249792,632,1.0,23.981418275121435,4.705770566170591,12.0,12,12,4,1.0,12.771522776285966,3.8849884033203352,23.59253845214846,70.86126775364576,2.1409653726070625,4.623968548660424,744,28.550130595746854,77.250353363273
cell_00_02,2026-02,2026-02-01,2026-03-01,0.5916406185386036,-0.04761019311877154,-0.5603072168416063,0.1228947445723977,0.09667538874762116,0.06526940482114987,632,1.0,25.60854444930803,5.69441186274361,13.0,13,13,4,1.0,17.505782154628406,8.961755371093773,30.038125610351585,12.192050537727539,2.0908996788301795,5.012603680276163,672,28.550130595746854,77.250353363273
