cell_id,month,start_date,end_date,ndvi_mean,ndbi_mean,ndwi_mean,ndvi_std,ndbi_std,ndwi_std,valid_pixel_count,valid_pixel_fraction,viirs_avg_rad_mean,viirs_avg_rad_std,viirs_cf_cvg_mean,viirs_cf_cvg_min,viirs_cf_cvg_max,viirs_valid_pixel_count,viirs_valid_pixel_fraction,era5_temperature_mean,era5_temperature_min,era5_temperature_max,era5_precipitation_total,era5_wind_speed_mean,era5_wind_speed_max,era5_observation_count,era5_source_lat,era5_source_lon
cell_00_00,2023-04,2023-04-01,2023-05-01,0.11150834069253672,0.035702654254568734,-0.16855847837036778,0.08681756544087103,0.03583778230454425,0.0760499155346148,629,1.0,29.312647596884275,2.3829332469126774,11.0,11,11,4,1.0,26.766634453667525,14.985391235351585,39.69832763671877,20.5824617661996,2.3529444228532452,5.680369398248825,720,28.5501,77.2504
cell_00_00,2023-05,2023-05-01,2023-06-01,0.10334031426679578,0.04660215927761782,-0.15661560213792194,0.08478456465447784,0.035954981471872656,0.07576556207311909,629,1.0,28.014146226623744,2.2135605692361504,12.0,12,12,4,1.0,29.301063689364995,18.47944030761721,42.45366821289065,74.06348871194979,2.431844721300796,6.7047515269460565,744,28.5501,77.2504
cell_00_00,2023-06,2023-06-01,2023-07-01,0.08346079079947633,0.048368472752728736,-0.13835389418117752,0.08762364973167007,0.034555069448224354,0.080140509145882,629,1.0,25.0277003112155,2.095678601260713,6.0,6,6,4,1.0,31.34988386366077,20.464715576171898,42.096170043945335,94.58621555397428,2.475280691508942,8.851056801444797,720,28.5501,77.2504
cell_00_00,2023-07,2023-07-01,2023-08-01,0.10292255396178976,0.07279006622398371,-0.12354280579546356,0.0536118644656021,0.030826581224142804,0.04559871340201489,306,0.4896,21.93491279788134,1.6324677022219123,7.351916376306621,7,8,4,1.0,29.00285018182554,25.158914184570335,35.45156250000002,283.02777937085466,2.176606895904875,5.663168109358528,744,28.5501,77.2504
cell_00_00,2023-08,2023-08-01,2023-09-01,0.08392968615919875,0.059312124103697544,-0.13028177618022338,0.12489293659812918,0.05425307563320342,0.11214422710190144,629,1.0,24.346411322882783,2.543613373557546,5.0,5,5,4,1.0,29.656941309282672,24.917871093750023,34.8358093261719,60.75189456705132,2.677155988671417,5.858381313663631,744,28.5501,77.2504
cell_00_00,2023-09,2023-09-01,2023-10-01,,,,,,,0,0.0,20.06909353143247,1.3457433259626277,9.0,9,9,4,1.0,28.617927381727323,19.817468261718773,36.23598632812502,94.92417057862212,2.083206047230681,5.715695175934548,720,28.5501,77.2504
cell_00_00,2023-10,2023-10-01,2023-11-01,0.11150751085900154,0.0466460878625225,-0.16146941829122116,0.09788195612319996,0.047358390025926574,0.08832638527835547,629,1.0,26.363205102262594,0.9659578996650184,17.0,17,17,4,1.0,25.39604532385388,16.025781250000023,36.01458129882815,7.899124642122501,2.0550147865045845,5.301090492305259,744,28.5501,77.2504
cell_00_00,2023-11,2023-11-01,2023-12-01,0.06867326789905275,0.003085009218008369,-0.10932600427458922,0.07211205120291642,0.0369924726802231,0.06623055460866258,629,1.0,40.78313679977577,3.5630126711933428,14.0,14,14,4,1.0,20.904533449809016,12.03132019042971,31.175759887695335,7.018026743629946,1.72405884440016,4.087394390543527,720,28.5501,77.2504
cell_00_00,2023-12,2023-12-01,2024-01-01,0.10019937481530009,0.026364507145933587,-0.16407241458502864,0.08705830932155609,0.04815543534032315,0.0797762216752276,629,1.0,27.953588312926605,1.2619901653487529,13.149825783972124,13,14,4,1.0,15.740068361836327,5.836755371093773,25.208367919921898,1.618355067286359,1.9386774743888564,4.850245620111483,744,28.5501,77.2504
cell_00_00,2024-01,2024-01-01,2024-02-01,0.0445771474740386,0.0404192446758255,-0.10667064700656793,0.04450415633384532,0.0268977230924841,0.047679367927708834,629,1.0,16.544808523995535,1.349647980182464,13.648083623693381,13,14,4,1.0,12.007141039448554,3.4342895507812727,22.356286621093773,12.957359178432881,1.736150563916567,4.3500188772709825,744,28.5501,77.2504
