cell_id,calendar_month,feature,n_observations,mean,median,std,mad,q1,q3,iqr,min,max,zero_mad_flag
cell_00_00,7,era5_temperature_mean,3,29.542,29.5003,0.5611,0.4975,29.2516,29.8115,0.56,29.0029,30.1228,False
cell_00_00,7,era5_precipitation_total,3,213.3438,194.4656,62.4238,31.9276,178.5018,238.7467,60.2449,162.5381,283.0278,False
cell_00_00,7,era5_wind_speed_mean,3,2.1385,2.1766,0.2204,0.1607,2.0391,2.257,0.2179,1.9016,2.3373,False
cell_00_00,8,ndvi_mean,3,0.0877,0.0839,0.0104,0.0043,0.0818,0.0917,0.0099,0.0796,0.0994,False
cell_00_00,8,ndbi_mean,3,0.0673,0.0677,0.0078,0.0072,0.0635,0.0713,0.0078,0.0593,0.0749,False
cell_00_00,8,ndwi_mean,3,-0.1243,-0.1233,0.0056,0.0042,-0.1268,-0.1212,0.0056,-0.1303,-0.1192,False
cell_00_00,8,viirs_avg_rad_mean,3,21.8787,23.6059,3.6518,0.7405,20.6448,23.9761,3.3313,17.6837,24.3464,False
cell_00_00,8,era5_temperature_mean,3,28.8688,28.7394,0.732,0.5292,28.4748,29.1982,0.7234,28.2102,29.6569,False
cell_00_00,8,era5_precipitation_total,3,138.8093,92.3013,109.0241,31.5494,76.5266,177.838,101.3114,60.7519,263.3747,False
cell_00_00,8,era5_wind_speed_mean,3,2.5047,2.5242,0.183,0.153,2.4185,2.6007,0.1822,2.3128,2.6772,False
cell_00_00,9,ndvi_mean,2,0.1158,0.1158,0.0442,0.0313,0.1001,0.1314,0.0313,0.0845,0.147,False
cell_00_00,9,ndbi_mean,2,0.0553,0.0553,0.0059,0.0042,0.0532,0.0574,0.0042,0.0512,0.0595,False
cell_00_00,9,ndwi_mean,2,-0.144,-0.144,0.0286,0.0203,-0.1541,-0.1339,0.0203,-0.1643,-0.1237,False
cell_00_00,9,viirs_avg_rad_mean,3,21.8752,20.0691,3.4108,0.3219,19.9082,22.9392,3.031,19.7472,25.8093,False
cell_00_00,9,era5_temperature_mean,3,28.0842,28.225,0.6164,0.3929,27.8173,28.4215,0.6042,27.4096,28.6179,False
cell_00_00,9,era5_precipitation_total,3,188.5029,162.0894,109.208,67.1652,128.5068,235.2922,106.7854,94.9242,308.4951,False
cell_00_00,9,era5_wind_speed_mean,3,2.1334,2.0832,0.1532,0.0717,2.0474,2.1943,0.1469,2.0116,2.3053,False
cell_00_00,10,ndvi_mean,3,0.1106,0.1115,0.0018,0.0004,0.11,0.1117,0.0017,0.1085,0.1119,False
cell_00_00,10,ndbi_mean,3,0.0531,0.0466,0.0177,0.0071,0.0431,0.0599,0.0168,0.0395,0.0732,False
cell_00_00,10,ndwi_mean,3,-0.1615,-0.1615,0.009,0.0089,-0.166,-0.157,0.009,-0.1706,-0.1526,False
cell_00_00,10,viirs_avg_rad_mean,3,33.6795,33.1302,7.6059,6.767,29.7467,37.3376,7.591,26.3632,41.5451,False
cell_00_00,10,era5_temperature_mean,3,25.0895,25.396,1.2732,0.7854,24.5435,25.7888,1.2453,23.691,26.1815,False
cell_00_00,10,era5_precipitation_total,3,64.4856,7.8991,104.7816,7.7359,4.0312,96.6468,92.6156,0.1632,185.3945,False
cell_00_00,10,era5_wind_speed_mean,3,1.9958,1.9714,0.0515,0.0104,1.9662,2.0132,0.047,1.961,2.055,False
cell_00_00,11,ndvi_mean,3,0.0714,0.0687,0.0179,0.0137,0.0618,0.0796,0.0177,0.055,0.0905,False
cell_00_00,11,ndbi_mean,3,0.0177,0.0067,0.0221,0.0036,0.0049,0.0249,0.02,0.0031,0.0431,False
cell_00_00,11,ndwi_mean,3,-0.126,-0.1142,0.0247,0.0049,-0.1343,-0.1118,0.0225,-0.1544,-0.1093,False
cell_00_00,11,viirs_avg_rad_mean,3,34.4783,31.4797,5.4623,0.3077,31.3259,36.1314,4.8056,31.172,40.7831,False
cell_00_00,11,era5_temperature_mean,3,20.7615,20.9045,0.7336,0.5086,20.4357,21.1588,0.7231,19.9669,21.4131,False
cell_00_00,11,era5_precipitation_total,3,3.4038,3.1001,3.4724,3.0068,1.5967,5.059,3.4624,0.0933,7.018,False
cell_00_00,11,era5_wind_speed_mean,3,1.8766,1.7913,0.2087,0.0672,1.7577,1.9529,0.1952,1.7241,2.1145,False
cell_00_00,12,ndvi_mean,3,0.1019,0.1005,0.0026,0.0003,0.1004,0.1027,0.0023,0.1002,0.1048,False
cell_00_00,12,ndbi_mean,3,0.0291,0.0264,0.0113,0.007,0.0229,0.0339,0.0111,0.0194,0.0415,False
cell_00_00,12,ndwi_mean,3,-0.1655,-0.1641,0.0047,0.0024,-0.1674,-0.1629,0.0045,-0.1707,-0.1617,False
cell_00_00,12,viirs_avg_rad_mean,3,25.1793,24.9158,2.6524,2.2474,23.7921,26.4347,2.6426,22.6685,27.9536,False
cell_00_00,12,era5_temperature_mean,3,15.1767,15.06,0.515,0.3299,14.895,15.4,0.505,14.7301,15.7401,False
cell_00_00,12,era5_precipitation_total,3,13.5164,1.6184,21.9398,1.5225,0.8571,20.2267,19.3696,0.0958,38.8351,False
cell_00_00,12,era5_wind_speed_mean,3,2.2587,2.3227,0.2933,0.192,2.1307,2.4187,0.288,1.9387,2.5147,False
cell_00_01,1,ndvi_mean,3,0.2978,0.3009,0.0596,0.055,0.2688,0.3284,0.0596,0.2367,0.3559,False
cell_00_01,1,ndbi_mean,3,0.017,0.0118,0.0206,0.0123,0.0057,0.0258,0.0201,-0.0005,0.0397,False
cell_00_01,1,ndwi_mean,3,-0.3408,-0.3241,0.0619,0.0352,-0.3667,-0.3065,0.0602,-0.4093,-0.2889,False
cell_00_01,1,viirs_avg_rad_mean,3,19.2087,19.6106,2.7421,2.1171,17.9492,20.6691,2.7199,16.2878,21.7277,False
cell_00_01,1,era5_temperature_mean,3,12.7796,12.6738,0.8304,0.6667,12.3405,13.1658,0.8253,12.0071,13.6578,False
cell_00_01,1,era5_precipitation_total,3,16.8589,12.9574,7.5697,0.9214,12.4967,19.2704,6.7737,12.0359,25.5834,False
cell_00_01,1,era5_wind_speed_mean,3,2.0941,2.2186,0.3147,0.1089,1.9774,2.2731,0.2957,1.7362,2.3275,False
cell_00_01,2,ndvi_mean,3,0.3042,0.2858,0.0426,0.0119,0.2799,0.3194,0.0395,0.2739,0.353,False
cell_00_01,2,ndbi_mean,3,0.0127,0.0232,0.0338,0.0169,-0.001,0.0316,0.0326,-0.0251,0.0401,False
cell_00_01,2,ndwi_mean,3,-0.337,-0.3227,0.0299,0.0058,-0.347,-0.3198,0.0272,-0.3714,-0.3169,False
cell_00_01,2,viirs_avg_rad_mean,3,26.1706,28.6268,4.9358,0.7697,24.5577,29.0116,4.4539,20.4886,29.3965,False
