cell_id,start_date,end_date,viirs_avg_rad_mean,viirs_avg_rad_std,viirs_cf_cvg_mean,viirs_cf_cvg_min,viirs_cf_cvg_max,viirs_valid_pixel_count,viirs_valid_pixel_fraction
cell_04_15,2024-03-01,2024-04-01,33.34014429462899,7.042900163401416,15.428057553956833,15,16,4,1.0
cell_04_16,2024-03-01,2024-04-01,22.115648016185062,10.276460885316805,15.780730897009967,15,16,4,1.0
cell_04_17,2024-03-01,2024-04-01,14.110207359683555,5.730106178268597,15.813148788927336,15,16,4,1.0
cell_04_18,2024-03-01,2024-04-01,14.414758232003251,2.503662486915661,15.26022304832714,15,16,4,1.0
cell_04_19,2024-03-01,2024-04-01,24.31253791922954,6.509153106295473,15.0,15,15,4,1.0
cell_05_00,2024-03-01,2024-04-01,31.12649248607123,6.0909828908257655,14.156716417910447,14,15,4,1.0
cell_05_01,2024-03-01,2024-04-01,35.40615853966313,3.6955532677313934,14.415224913494809,14,15,4,1.0
cell_05_02,2024-03-01,2024-04-01,39.67451750162827,6.259833853180419,15.265780730897006,14,16,4,1.0
cell_05_03,2024-03-01,2024-04-01,40.96157683779262,6.285565036056402,15.906810035842295,15,16,4,1.0
cell_05_04,2024-03-01,2024-04-01,32.64836518383381,6.8387766874682345,16.0,16,16,4,1.0
cell_05_05,2024-03-01,2024-04-01,47.13395531497785,9.935231366574934,16.0,16,16,5,1.0
cell_05_06,2024-03-01,2024-04-01,51.42041179315369,1.5560602851654097,16.0,16,16,4,1.0
cell_05_07,2024-03-01,2024-04-01,50.39450099127634,2.3376365783287527,16.0,16,16,4,1.0
cell_05_08,2024-03-01,2024-04-01,53.4814227653655,8.99689233040616,16.0,16,16,4,1.0
cell_05_09,2024-03-01,2024-04-01,50.62807687345918,14.253986868719736,16.0,16,16,4,1.0
cell_05_10,2024-03-01,2024-04-01,34.226729070386924,9.929796722574986,16.0,16,16,4,1.0
cell_05_11,2024-03-01,2024-04-01,24.689850992231225,6.6291988302714175,15.682835820895523,15,16,4,1.0
cell_05_12,2024-03-01,2024-04-01,16.898587365132727,1.394354705799659,15.0,15,15,4,1.0
cell_05_13,2024-03-01,2024-04-01,18.34301824396307,4.742817311568203,15.0,15,15,4,1.0
cell_05_14,2024-03-01,2024-04-01,20.293410654889037,7.00886767972174,15.0,15,15,4,1.0
cell_05_15,2024-03-01,2024-04-01,18.543150885464396,7.7252619889995575,15.510273972602741,15,16,4,1.0
cell_05_16,2024-03-01,2024-04-01,13.247724130972111,6.470458056288672,16.0,16,16,4,1.0
cell_05_17,2024-03-01,2024-04-01,10.55720160968268,1.276506408150142,16.0,16,16,4,1.0
cell_05_18,2024-03-01,2024-04-01,16.825858343893024,4.0232388896387015,15.317164179104477,15,16,4,1.0
cell_05_19,2024-03-01,2024-04-01,29.342977376545175,6.82961311897477,15.0,15,15,4,1.0
cell_06_00,2024-03-01,2024-04-01,42.06781530696035,9.182887612622922,14.142384105960266,14,15,4,1.0
cell_06_01,2024-03-01,2024-04-01,46.053451782443766,6.058647546706806,14.274021352313165,14,15,4,1.0
cell_06_02,2024-03-01,2024-04-01,49.67951216679834,5.135818332813465,14.857677902621722,14,15,4,1.0
cell_06_03,2024-03-01,2024-04-01,49.976493081050144,3.3221454455869632,15.828358208955224,15,16,4,1.0
cell_06_04,2024-03-01,2024-04-01,49.29514896335887,8.505206588846539,16.0,16,16,4,1.0
