month,total_cells,s2_missing_cells,s2_missing_pct,viirs_missing_cells,viirs_missing_pct,era5_missing_cells,era5_missing_pct
2023-04,460,0,0.0,0,0.0,0,0.0
2023-05,460,0,0.0,0,0.0,0,0.0
2023-06,460,0,0.0,0,0.0,0,0.0
2023-07,460,118,25.65,0,0.0,0,0.0
2023-08,460,0,0.0,0,0.0,0,0.0
2023-09,460,138,30.0,0,0.0,0,0.0
2023-10,460,0,0.0,0,0.0,0,0.0
2023-11,460,0,0.0,0,0.0,0,0.0
2023-12,460,0,0.0,0,0.0,0,0.0
2024-01,460,0,0.0,0,0.0,0,0.0
2024-02,460,0,0.0,0,0.0,0,0.0
2024-03,460,0,0.0,0,0.0,0,0.0
