month,feature,mean,median,std,min,max,valid_count
2024-01,ndwi_mean,-0.246,-0.2393,0.0949,-0.5312,0.1861,460
2024-01,viirs_avg_rad_mean,26.9728,27.4852,10.7086,6.7139,63.5873,460
2024-01,era5_temperature_mean,11.9901,11.9901,0.0171,11.9731,12.0071,460
2024-01,era5_precipitation_total,12.3044,12.3044,0.6537,11.6514,12.9574,460
2024-01,era5_wind_speed_mean,1.7295,1.7295,0.0066,1.7229,1.7362,460
2024-02,ndvi_mean,0.2781,0.2702,0.1079,-0.1159,0.6006,460
2024-02,ndbi_mean,-0.0329,-0.0212,0.0731,-0.4013,0.0934,460
2024-02,ndwi_mean,-0.3008,-0.2996,0.1007,-0.5768,0.1775,460
2024-02,viirs_avg_rad_mean,39.1547,40.6904,16.2634,8.1952,84.7363,460
2024-02,era5_temperature_mean,16.1804,16.1804,0.0042,16.1762,16.1846,460
2024-02,era5_precipitation_total,15.2992,15.2992,0.0519,15.2474,15.351,460
2024-02,era5_wind_speed_mean,2.4388,2.4388,0.004,2.4349,2.4428,460
2024-03,ndvi_mean,0.2881,0.2817,0.1227,-0.2952,0.6809,460
2024-03,ndbi_mean,-0.0354,-0.025,0.0675,-0.3841,0.0788,460
2024-03,ndwi_mean,-0.3192,-0.3164,0.1133,-0.6368,0.3046,460
2024-03,viirs_avg_rad_mean,46.7971,48.5447,19.3395,10.5572,109.293,460
2024-03,era5_temperature_mean,21.5654,21.5654,0.0095,21.5559,21.5749,460
2024-03,era5_precipitation_total,39.9894,39.9894,0.5293,39.4606,40.5181,460
2024-03,era5_wind_speed_mean,2.5049,2.5049,0.0025,2.5023,2.5074,460
